BGE,rate,JV,JE,ontology,response,species,phylum,monomer,class
NaN,0.0069901527578708446,2.2330734282887226e-6,5.917365598310821e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,biotin ,Acidobacteria
NaN,0.006990128193553048,2.2330731717350493e-6,5.917345019085799e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,caffeic acid,Acidobacteria
0.5019560289406773,0.07599446152943103,1.1980486696887496e-5,5.667203579777452e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,choline,Acidobacteria
NaN,0.00699007906498807,2.2330725581458824e-6,5.917303820566099e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,cis-aconitic acid,Acidobacteria
1.08250850792963,0.0058470670139065505,2.316185649581437e-6,4.9874246601323704e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,cytidine,Acidobacteria
0.479018451788794,0.024179557247077377,7.257415145073503e-6,1.653423194984817e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,rhamnose,Acidobacteria
1.0825264414571882,0.0058470692134803635,2.3161856393507814e-6,4.987426500725725e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,deoxyguanosine,Acidobacteria
0.49658263066027014,0.024180182229015225,8.86324243868487e-6,1.7757086414899972e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,maltose,Acidobacteria
0.49658263066027014,0.024180182229015225,8.86324243868487e-6,1.7757086414899972e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,sucrose,Acidobacteria
NaN,0.006989985480320852,2.233071387798129e-6,5.91722535810979e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,fumaric acid ,Acidobacteria
0.4722075809576346,0.07599267216674276,1.0114021326138555e-5,4.261734820399857e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,gamma-amino-n-butyric acid ,Acidobacteria
NaN,0.07065814045230731,1.973061899603655e-5,5.319306692913866e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,glycine ,Acidobacteria
0.491367256434097,0.07599461380574347,1.1051606598121659e-5,4.966623368151817e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,glycine betaine,Acidobacteria
1.0854851108719719,0.005846558881266976,2.3161869429499125e-6,4.9869968574712615e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,guanine,Acidobacteria
1.0825210026343197,0.0058470674189286835,2.3161856405382636e-6,4.9874249816612127e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,guanosine,Acidobacteria
0.47733241412264876,0.02417736548724773,7.256457795903863e-6,1.653446422138249e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,fructose,Acidobacteria
0.47733241412264876,0.02417736548724773,7.256457795903863e-6,1.653446422138249e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,glucose,Acidobacteria
0.48235321372781326,0.07599257370008786,1.0123838199582337e-5,4.268362187162467e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,histidine,Acidobacteria
0.46007895724216136,0.07598964723786045,9.231271171753953e-6,3.7243443510781254e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,homoserine ,Acidobacteria
1.0837202895383615,0.005846693285235343,2.3161866127324125e-6,4.987110042603495e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,hypoxanthine,Acidobacteria
NaN,0.002242634175179369,2.172778970994174e-6,1.9210899265284442e-8,Auxins,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,indole-3-acetic acid,Acidobacteria
1.0825785890863309,0.005847080028038359,2.3161856116888508e-6,4.98743560529371e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,inosine ,Acidobacteria
0.5017866337820509,0.07599450380406075,1.1980349867572948e-5,5.6670902469174094e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,isoleucine ,Acidobacteria
NaN,0.0069901604002721,2.2330735836737836e-6,5.91737201901177e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,jasmonic acid,Acidobacteria
0.4626284668634834,0.07598968146874292,9.233904016569448e-6,3.725962853341297e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,L-aspartic acid,Acidobacteria
0.5055773353080226,0.07599577071984912,1.1983467504319022e-5,5.6697331648438444e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,L-carnitine,Acidobacteria
0.478882250843914,0.07599381722196857,1.01205780018589e-5,4.266163298678337e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,L-citrulline,Acidobacteria
0.480790882148889,0.0759921583727157,1.012235939300878e-5,4.267354804140507e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,L-glutamate ,Acidobacteria
0.4792071189296513,0.07599372153039737,1.0120877751731214e-5,4.2663613592734015e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,L-hydroxyproline,Acidobacteria
0.4807909154169772,0.07599226552087085,1.0122369813123532e-5,4.267366587263148e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,L-pyroglutamic acid,Acidobacteria
0.5069474200498818,0.07599477136871201,1.1984584234958654e-5,5.670684651741507e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,L-tyrosine ,Acidobacteria
NaN,0.006989866340770755,2.233069710239787e-6,5.917125445589563e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,lactic acid,Acidobacteria
0.5017866338601058,0.07599450383266435,1.1980349994396826e-5,5.667090354478432e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,leucine,Acidobacteria
NaN,0.00699017842806005,2.233073806270312e-6,5.917387118795716e-8,Fatty acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,linoleic acid,Acidobacteria
0.4953351704404355,0.07599508905351252,1.1055052845383795e-5,4.969253456253096e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,lysine,Acidobacteria
NaN,0.006989985128454498,2.23307138710612e-6,5.917225055444236e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,malic acid,Acidobacteria
NaN,0.006989863101634145,2.233069692381903e-6,5.9171227226660865e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,malonic acid ,Acidobacteria
0.5086460444983018,0.07599579607668616,1.1985913062114893e-5,5.671795648660506e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,methionine ,Acidobacteria
0.48555130892656984,0.024178189158151085,7.998671113157224e-6,1.7333385644751964e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,N-acetyl-D-glucosamine ,Acidobacteria
NaN,0.00699006880758535,2.233072438806209e-6,5.917295237483105e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,nicotinic acid,Acidobacteria
0.48089066298379013,0.07599225153397746,1.0122461570900029e-5,4.267427543640364e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,ornithine,Acidobacteria
NaN,0.006990130313737533,2.233073201955076e-6,5.9173467860729453e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,pantothenic acid ,Acidobacteria
0.4693615315742141,0.024178910004022565,7.251897189261024e-6,1.6535636327495216e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,arabinose,Acidobacteria
0.4693615315742141,0.024178910004022565,7.251897189261024e-6,1.6535636327495216e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,D-ribose,Acidobacteria
0.46936153198821695,0.02417891017397223,7.251897119197938e-6,1.6535636327494648e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,xylose,Acidobacteria
0.5094276766285069,0.07599540335922556,1.1986563751838762e-5,5.672363453242117e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,phenylalanine ,Acidobacteria
0.48527072929514786,0.07599446009256296,1.0126495677855087e-5,4.270149144102481e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,proline ,Acidobacteria
NaN,0.00699010165837023,2.2330728643373238e-6,5.917322781124043e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,salicylic acid,Acidobacteria
0.4295938393204184,0.07598555995927922,8.326122021983492e-6,3.1760345744228926e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,serine ,Acidobacteria
NaN,0.00699010109615341,2.2330728632191666e-6,5.917322297490237e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,shikimic acid ,Acidobacteria
NaN,0.006990149630991197,2.2330734394140676e-6,5.917362987393539e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,sinapyl alcohol,Acidobacteria
NaN,0.0069901181338079335,2.233073062239413e-6,5.917336595159076e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,stachyhydrine,Acidobacteria
NaN,0.006989986617070837,2.2330713875554515e-6,5.9172263098411315e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,succinic acid,Acidobacteria
0.47733241412264876,0.02417736548724773,7.256457795903863e-6,1.653446422138249e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,inositol,Acidobacteria
NaN,0.006990127947680039,2.233073171244823e-6,5.9173448075764285e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,syringic acid,Acidobacteria
NaN,0.006989954079614608,2.2330709605967842e-6,5.917199001637699e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,taurine,Acidobacteria
NaN,0.006990155008437978,2.233073461901918e-6,5.917367481258049e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,thiamine,Acidobacteria
NaN,0.006989986268714452,2.2330713868703433e-6,5.917226010194542e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,threonic acid ,Acidobacteria
0.4600789572479216,0.07598964722107932,9.23127122706375e-6,3.7243443846339725e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,threonine ,Acidobacteria
1.0827010237682624,0.005847099234448896,2.3161855687511125e-6,4.9874517898355894e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,thymidine,Acidobacteria
NaN,0.006990135956747259,2.2330732457183446e-6,5.917351538578582e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,trans-cinnamic acid,Acidobacteria
NaN,0.006990135090538251,2.233073279643043e-6,5.917350799678977e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,trans-ferulic acid,Acidobacteria
NaN,0.006990091712926934,2.2330727393934504e-6,5.917314441653241e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,trigonelline,Acidobacteria
0.5102967850316897,0.07599567876313858,1.198725089290563e-5,5.672946476033665e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,tryptophan,Acidobacteria
1.084203644364018,0.005846652620281117,2.3161867170717652e-6,4.987075808332907e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,uracil,Acidobacteria
1.082560643284735,0.005847076115169739,2.316185626340746e-6,4.987432322405023e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,uridine,Acidobacteria
0.491367256434097,0.07599461380574347,1.1051606598121659e-5,4.966623368151817e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,valine ,Acidobacteria
NaN,0.006990115680531293,2.23307304983678e-6,5.917334530699407e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,vanillic acid,Acidobacteria
NaN,0.006990119117683319,2.2330730642735116e-6,5.917337417190631e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,vanillin,Acidobacteria
1.083522388615495,0.005846711275387453,2.3161865615773574e-6,4.987125175689997e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,xanthine,Acidobacteria
NaN,0.00699017842806005,2.233073806270312e-6,5.917387118795716e-8,Fatty acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,linoleic acid,Acidobacteria
0.4627681940292325,0.16310439007898797,1.1890135187135063e-5,4.904778364570716e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,2-aminoisobutyric acid ,Bacilli
0.4650693422887908,0.024588691488403088,7.274364863946441e-6,1.212094171894762e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,"2,3-Dihydroxybenzoic acid",Bacilli
0.46506933991227256,0.02458868380190124,7.2743637380335185e-6,1.2120938051921326e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,3-Dehydroshikimic acid,Bacilli
0.4779945737342051,0.16311120294762785,1.1919369868239198e-5,4.927478919014066e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,5-aminovaleric acid,Bacilli
0.48001581977268704,0.024588289727910613,8.904251565000452e-6,1.3408549435966622e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,abscisic acid,Bacilli
0.42106878498097494,0.022848537629381598,5.134730007017124e-6,9.784806057782427e-7,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,adenine,Bacilli
0.467260008345789,0.022848638036572284,7.053394441043616e-6,1.1398492888906464e-6,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,adenosine,Bacilli
0.4197084789252624,0.16308865118373467,9.962390363951908e-6,3.5986786272182648e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,alpha-alanine ,Bacilli
0.45416107470171996,0.024588257375249164,6.521336899931118e-6,1.1950956329425004e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,alpha-ketoglutaric acid ,Bacilli
0.46079504660225146,0.1631080600130767,1.0064400769345262e-5,3.660025007213213e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,arginine,Bacilli
0.4462449472974158,0.1631000369007642,1.0032737270616684e-5,3.640890206301156e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,asparagine ,Bacilli
0.4867713153460339,0.16311174793012093,1.1934794565800572e-5,4.939491468519528e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,betonicine,Bacilli
0.47581252913792016,0.024588311531350823,8.030179825869593e-6,1.2239888446714922e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,biotin ,Bacilli
0.4709572139783217,0.024589075297198826,8.023171995978953e-6,1.2241387732646614e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,caffeic acid,Bacilli
0.486083190199309,0.16311104080867972,1.1933614375818966e-5,4.938567107342053e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,choline,Bacilli
0.4603556040143887,0.02458829171419449,6.528526362689616e-6,1.1979114673865543e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,cis-aconitic acid,Bacilli
0.46689309058577655,0.022848597169042313,7.052902369476749e-6,1.1397775357779754e-6,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,cytidine,Bacilli
0.47364426737872234,0.09851486816435359,1.0269392223120637e-5,2.4107961309186958e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,rhamnose,Bacilli
0.4672600082289897,0.022848637929981847,7.053394419743666e-6,1.1398493099719054e-6,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,deoxyguanosine,Bacilli
0.48724478323058873,0.09851859207263008,1.2115575989631741e-5,3.336536651116161e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,maltose,Bacilli
0.48724478323058873,0.09851859207263008,1.2115575989631741e-5,3.336536651116161e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,sucrose,Bacilli
0.4439207086942116,0.024587285022330194,5.912125080466448e-6,1.085405807190852e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,fumaric acid ,Bacilli
0.4627681940292325,0.16310439007898797,1.1890135187135063e-5,4.904778364570716e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,gamma-amino-n-butyric acid ,Bacilli
NaN,0.16287673508980594,1.852033978203343e-5,1.4645700282395495e-5,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,glycine ,Bacilli
0.4779945737342051,0.16311120294762785,1.1919369868239198e-5,4.927478919014066e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,glycine betaine,Bacilli
0.4213712267104846,0.022848523174263387,5.134997598715947e-6,9.784633174099695e-7,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,guanine,Bacilli
0.467150354174967,0.022848591043345683,7.053246655807387e-6,1.1398275721073645e-6,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,guanosine,Bacilli
0.47229021573323615,0.09851722434320594,1.026757182973301e-5,2.4100128771562808e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,fructose,Bacilli
0.47229021573323615,0.09851722434320594,1.026757182973301e-5,2.4100128771562808e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,glucose,Bacilli
0.47095166245166653,0.16310991260338864,1.0988234904097412e-5,4.212227143013012e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,histidine,Bacilli
0.45300002442981435,0.1631043091234917,1.0047942443323188e-5,3.6500605151215323e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,homoserine ,Bacilli
0.4318876880050011,0.022848460453559566,5.717941470952359e-6,1.0103213910282054e-6,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,hypoxanthine,Bacilli
0.4028731759234515,0.004572717499887874,2.39617992479343e-6,2.7908775538709632e-8,Auxins,negative,Bacillus sp. URHB0009,Firmicutes,indole-3-acetic acid,Bacilli
0.46826714728665286,0.022849319942831504,7.0547430791672e-6,1.1400460980039677e-6,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,inosine ,Bacilli
0.48595314373890636,0.16311121789461364,1.1933398067878386e-5,4.938401693703416e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,isoleucine ,Bacilli
0.4785423777423595,0.024589320435900362,8.901952691347254e-6,1.340891921908251e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,jasmonic acid,Bacilli
0.4550967966863727,0.1631028480348719,1.005245154910812e-5,3.6527741258438693e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,L-aspartic acid,Bacilli
0.4889131233663757,0.1631134094912747,1.2856222021689077e-5,5.650539601875908e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,L-carnitine,Bacilli
0.46818950970439294,0.16310754518366566,1.0982826254707168e-5,4.208584664009588e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,L-citrulline,Bacilli
0.4697103670104089,0.16310906152393603,1.0985796165840604e-5,4.21057271213175e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,L-glutamate ,Bacilli
0.4684487170132653,0.16310735686146408,1.0983329332597122e-5,4.208918256438352e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,L-hydroxyproline,Bacilli
0.469710397636959,0.16310932946712614,1.0985808059805631e-5,4.210586161437664e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,L-pyroglutamic acid,Bacilli
0.48995763251567914,0.163113750244834,1.2857958496725123e-5,5.652081245934086e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,L-tyrosine ,Bacilli
0.42613142809886034,0.024586944185675832,5.299567695160109e-6,9.81072116238216e-7,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,lactic acid,Bacilli
0.4859531437530925,0.16311121785085536,1.1933398068893402e-5,4.938401694873383e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,leucine,Bacilli
0.4814508199132155,0.021107198884338707,6.144824956006365e-6,9.735139243511364e-7,Fatty acids,negative,Bacillus sp. URHB0009,Firmicutes,linoleic acid,Bacilli
0.4810852057237713,0.1631118863435722,1.1924927183222277e-5,4.931805499685413e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,lysine,Bacilli
0.44392070465272926,0.024587270123588273,5.912124120093813e-6,1.0854052420012316e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,malic acid,Bacilli
0.42589077985423024,0.02458691557605766,5.299356506987216e-6,9.810858078936523e-7,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,malonic acid ,Bacilli
0.4912493152376934,0.1631119515135307,1.2860043496707743e-5,5.653907068767918e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,methionine ,Bacilli
0.47855272336536375,0.09851675879022254,1.0275835104142318e-5,2.4135673908428576e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,N-acetyl-D-glucosamine ,Bacilli
0.45838074968783055,0.024587510090573823,6.526242996962793e-6,1.1970172119313873e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,nicotinic acid,Bacilli
0.4697897447063545,0.16310929473165267,1.0985960319961236e-5,4.210687643270723e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,ornithine,Bacilli
0.47158447328707975,0.024587516354820996,8.02407874315623e-6,1.224118962919757e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,pantothenic acid ,Bacilli
0.4657446008934807,0.09851474778910613,9.350783964855381e-6,2.023463426767661e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,arabinose,Bacilli
0.4657446008934807,0.09851474778910613,9.350783964855381e-6,2.023463426767661e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,D-ribose,Bacilli
0.46574460089007225,0.09851474769005415,9.350783964810646e-6,2.023463426741928e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,xylose,Bacilli
0.4918425090737706,0.1631127458663414,1.2861041664739578e-5,5.654809452837136e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,phenylalanine ,Bacilli
0.4732609199014325,0.16310826515677587,1.099264473233041e-5,4.215191679075504e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,proline ,Bacilli
0.4652456223021793,0.024588699523793126,7.274595412296631e-6,1.2121313246975735e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,salicylic acid,Bacilli
0.4271447646996451,0.16308954421915764,9.083569231311151e-6,3.0804467051249176e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,serine ,Bacilli
0.4652456181087148,0.02458868374497141,7.2745937242429785e-6,1.2121306950432949e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,shikimic acid ,Bacilli
0.47565515168576666,0.02458822685511122,8.029955106717296e-6,1.2239936286922299e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,sinapyl alcohol,Bacilli
0.4685471302068271,0.024587878164111517,7.278889465259022e-6,1.2128218654939372e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,stachyhydrine,Bacilli
0.4439680457411967,0.024587283554436075,5.9121736146632125e-6,1.0854157825646172e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,succinic acid,Bacilli
0.47229021573323615,0.09851722434320594,1.026757182973301e-5,2.4100128771562808e-6,Sugars,negative,Bacillus sp. URHB0009,Firmicutes,inositol,Bacilli
0.47095721259718326,0.024589069141165647,8.023171767627114e-6,1.2241387659569507e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,syringic acid,Bacilli
0.4389859597065633,0.024587636974961476,5.907104208144839e-6,1.0843732227110924e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,taurine,Bacilli
0.4764129541020028,0.024589074616795405,8.031045254468155e-6,1.2239708876655043e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,thiamine,Bacilli
0.44396804061190753,0.024587268839069906,5.912171890544284e-6,1.0854149821474923e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,threonic acid ,Bacilli
0.45300002439084086,0.16310430914448656,1.0047942514263491e-5,3.650060548853915e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,threonine ,Bacilli
0.4708259889735903,0.022849489100569137,7.778013380304833e-6,1.2221724198815747e-6,Nucleotides,negative,Bacillus sp. URHB0009,Firmicutes,thymidine,Bacilli
0.4722856260730705,0.024589048909510133,8.025096254225253e-6,1.2240969628008926e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,trans-cinnamic acid,Bacilli
0.472756256747458,0.02458907934710866,8.025773858231566e-6,1.2240822547696263e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,trans-ferulic acid,Bacilli
0.4633735711726371,0.02458787034429802,7.2721548554819235e-6,1.2117401108107507e-6,Organic acids,negative,Bacillus sp. URHB0009,Firmicutes,trigonelline,Bacilli
0.4925011758881009,0.16311473628954445,1.2862109853699096e-5,5.6557555265161225e-6,Amino acids,negative,Bacillus sp. URHB0009,Firmicutes,tryptophan,Bacilli
